brand,title,weight_g,price_inr,cost_per_gram,rating,review_count,url,search_query
Davidoff,Davidoff,,830.0,,4.6,,https://www.amazon.in/DAVIDOFF-AROMA-INSTANT-COFFEE-INTENSITY/dp/B00STKLN1S/ref=sr_1_8?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-8,Davidoff coffee powder
Davidoff,Davidoff,,724.0,,4.6,,https://www.amazon.in/Davidoff-Instant-Coffee-Arabica-Intensity/dp/B0FNWY477N/ref=sr_1_9?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-9,Davidoff coffee powder
Davidoff,Davidoff,,758.0,,4.2,,https://www.amazon.in/Davidoff-Crema-Intense-Instant-Coffee/dp/B094742C7W/ref=sr_1_10?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-10,Davidoff coffee powder
Davidoff,Davidoff,,1699.0,,3.9,,https://www.amazon.in/Davidoff-Instant-Coffee-Premium-Granules/dp/B0GRMVD6T2/ref=sr_1_11?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-11,Davidoff coffee powder
Davidoff,Davidoff,,760.0,,4.7,,https://www.amazon.in/Davidoff-Aroma-Instant-Coffee-Intensity/dp/B0FNWZ3YVV/ref=sr_1_14?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-14,Davidoff coffee powder
Davidoff,Davidoff,,1787.0,,4.4,,https://www.amazon.in/Davidoff-Cafe-Aroma-Instant-Coffee/dp/B00WBAQL8W/ref=sr_1_15?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-15,Davidoff coffee powder
Davidoff,Davidoff,,768.0,,4.5,,https://www.amazon.in/Davidoff-Espresso-Instant-Coffee-3-5-Ounce/dp/B00WB9A8PU/ref=sr_1_19?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-19,Davidoff coffee powder
Davidoff,Davidoff,,3289.0,,4.4,,https://www.amazon.in/Davidoff-Instant-Espresso-Intense-Premium/dp/B0GKVCYF1J/ref=sr_1_22?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-22,Davidoff coffee powder
Davidoff,Davidoff,,1800.0,,4.5,,https://www.amazon.in/Davidoff-Rich-Aroma-Instant-Coffee/dp/B0991T8KGS/ref=sr_1_23?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-23,Davidoff coffee powder
Davidoff,Davidoff,,1677.0,,4.6,,https://www.amazon.in/Davidoff-Fine-Aroma-Coffee-Bottle/dp/B087N68YT2/ref=sr_1_25?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-25,Davidoff coffee powder
