title,image_url,price_inr,rating,review_count,url,asin,brand,search_query,weight_g,unit_weight_g,pack_count,cost_per_gram
Bru Gold Edition | Premium Freeze Dried Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee | 55g (Pack of 3),https://m.media-amazon.com/images/I/51FulSn+nlL._AC_UL960_FMwebp_QL65_.jpg,798.0,4.1,415.0,https://www.amazon.in/Bru-Premium-Experience-Intense-Aromatic/dp/B0H6GK34HL/ref=sr_1_14?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-14,B0H6GK34HL,Bru Gold,Bru Gold instant coffee,165.0,55.0,3.0,4.84
Bru Gold Edition | Premium Freeze Dried Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee | 55g (Pack of 2),https://m.media-amazon.com/images/I/61CSf61YeaL._AC_UL960_FMwebp_QL65_.jpg,532.0,,,https://www.amazon.in/Bru-Premium-Experience-Intense-Aromatic/dp/B0H6GH8D7P/ref=sr_1_21?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-21,B0H6GH8D7P,Bru Gold,Bru Gold instant coffee,110.0,55.0,2.0,4.84
"Bru Gold Instant Coffee, 100% Pure Granulated Coffee, 100 g",https://m.media-amazon.com/images/I/61wD14yq6PL._AC_UL960_FMwebp_QL65_.jpg,537.0,4.3,435.0,https://www.amazon.in/Bru-Gold-Instant-Coffee-100g/dp/B00GPJF85C/ref=sr_1_8?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-8,B00GPJF85C,Bru Gold,Bru Gold instant coffee,100.0,100.0,,5.37
Gold Vanilla 55g | Flavoured Instant Coffee | Flavourful Twist to Your Everyday Coffee | + Bru Gold Caramel 55g | Flavoured Instant Coffee | Flavourful Twist to Your Everyday Coffee |,https://m.media-amazon.com/images/I/51C-zRI01LL._AC_UL960_FMwebp_QL65_.jpg,623.0,5.0,505.0,https://www.amazon.in/Bru-Vanilla-Flavoured-Flavourful-Everyday/dp/B0H113WQGK/ref=sr_1_28?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-28,B0H113WQGK,Bru Gold,Bru Gold instant coffee,110.0,55.0,2.0,5.66
Gold Vanilla 55g | Flavoured Instant Coffee | Flavourful Twist to Your Everyday Coffee | + Bru Gold Hazelnut 55g | Flavoured Instant Coffee | Flavourful Twist to Your Everyday Coffee |,https://m.media-amazon.com/images/I/51vZ4PBv8jL._AC_UL960_FMwebp_QL65_.jpg,626.0,3.0,305.0,https://www.amazon.in/Bru-Flavoured-Flavourful-Everyday-Hazelnut/dp/B0H1125R7N/ref=sr_1_31?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-31,B0H1125R7N,Bru Gold,Bru Gold instant coffee,110.0,55.0,2.0,5.69
Gold Caramel 55g | Flavoured Instant Coffee | Flavourful Twist to Your Everyday Coffee | + Bru Gold Hazelnut 55g | Flavoured Instant Coffee | Flavourful Twist to Your Everyday Coffee |,https://m.media-amazon.com/images/I/51E5fxwAquL._AC_UL960_FMwebp_QL65_.jpg,627.0,,,https://www.amazon.in/Bru-Flavoured-Flavourful-Everyday-Hazelnut/dp/B0H1177T4V/ref=sr_1_29?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-29,B0H1177T4V,Bru Gold,Bru Gold instant coffee,110.0,55.0,2.0,5.7
"BRU Gold Coffee, 50g",https://m.media-amazon.com/images/I/91QqouVGw9L._AC_UL960_FMwebp_QL65_.jpg,325.0,4.3,435.0,https://www.amazon.in/Bru-BRU-Gold-Coffee-50g/dp/B00GPJHY2W/ref=sr_1_26?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-26,B00GPJHY2W,Bru Gold,Bru Gold instant coffee,50.0,50.0,,6.5
"Davidoff Fine Aroma Instant Coffee 7/12 Intensity - 100% Arabica, 100G, Granule, Glass Bottle",https://m.media-amazon.com/images/I/61hLTug8SkL._AC_UL960_FMwebp_QL65_.jpg,749.0,4.5,455.0,https://www.amazon.in/Davidoff-Aroma-Instant-Coffee-Arabica/dp/B09G54VXJW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcbWxjhPEKqzgMEvYlpPdCXqx7tppK6CycGomYU0T-oTngDexIHTXQv9cq-dBvc9w_gB2rxZSiBAPUO6DnFOeqiRi3d8KddinwXaneszBXTfpw9ZRGmbaR5i77bFkU9HlreJxbKQBYkI585Zjnnm6QatPdE-xouYttWe4Y_Pa2Kieg.pQFx1WovVXT1lnJM_gw_s_EnqC_1Ard0qczg-_4o0hs&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789844112&sr=8-16,B09G54VXJW,Davidoff,Davidoff coffee powder,100.0,100.0,,7.49
"DAVIDOFF FINE AROMA INSTANT COFFEE 7/12 INTENSITY - 100% ARABICA, 3.53 OZ ℮ 100G, GRANULE, GLASS BOTTLE - PACK OF 6",https://m.media-amazon.com/images/I/71jZ4KXxX9L._AC_UL960_FMwebp_QL65_.jpg,4494.0,5.0,505.0,https://www.amazon.in/DAVIDOFF-AROMA-INSTANT-COFFEE-INTENSITY/dp/B09XFPRQST/ref=sr_1_56?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcbWxjhPEKqzgMEvYlpPdCXqx7tppK6CycGomYU0T-oTngDexIHTXQv9cq-dBvc9w_gB2rxZSiBAPUO6DnFOeqiRi3d8KddinwXaneszBXTfpw9ZRGmbaR5i77bFkU9HlreJxbKQBYkI585Zjnnm6QatPdE-xouYttWe4Y_Pa2Kieg.pQFx1WovVXT1lnJM_gw_s_EnqC_1Ard0qczg-_4o0hs&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789844112&sr=8-56,B09XFPRQST,Davidoff,Davidoff coffee powder,600.0,100.0,6.0,7.49
"DAVIDOFF Crema Flavoured Coffee Chewy Candy, 50g | chewy coffee candy",https://m.media-amazon.com/images/I/417oMVY36hL._AC_UL960_FMwebp_QL65_.jpg,380.0,,,https://www.amazon.in/DAVIDOFF-Crema-Flavoured-Coffee-Chewy/dp/B0HH6GXKTM/ref=sr_1_89?dib=eyJ2IjoiMSJ9.o4308BOKLgUVJoCRL6L4daW-LaGa2Re6skgUk7MxTf1zjT0X1gAGCF0YcR-i1uL_9hrczJZ5SyXdGb7dIkyeipx6cznjCsn21z84AzNEHXiu3pdJF_gmdz2BPVr9ZvZlv3TCaBVXrpP-X_8mfciPR7es0Rb5yTOLI_rVZ3we0gZEJOXbGlMvE94zNmPUv_nKlP7cjWrULk3NbpH0Oy9u485Dtt-JuXbexyaPgRRd-D8SDDi4pDWNxkHMfFehL2lze3zDQuzmRbWuJ6U_QcB5C94qsdtA82yYYnN13gksBWY.hjRoHMer5pIGXPlve3Tp2HLxlCoyAupgs6SiSxeqqMo&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789844119&sr=8-89,B0HH6GXKTM,Davidoff,Davidoff coffee powder,50.0,50.0,,7.6
